URL,Original Post,Responses
https://couple.journaldesfemmes.com/forum/affich-71019-se-remettre-d-un-rupture-quand-on-aime-encore,"Bonjour, Je vous avoue que là, je suis totalement confuse... Mon copain m'a laissé il y a maintenant 1 mois, je vis très difficilement la rupture. Je fais des crises d'angoisse chaque jour, je pleure à chaudes larmes à en avoir mal aux poumons et au cœur. C'était ma toute première vraie relation. Elle était saine et j'avais rien et j'ai toujours rien à reprocher de cette relation. Mon problème, c'est que je cherche tellement à ne pas être seule que je me suis remis sur Tinder... Évidemment, j'ai spécifié que je ne cherchais que des amis, mais mon inconscient choisissait quand même en fonction de mes goûts. Je me disais que c'était principalement, car je m'entends bien avec un type de personne ce qui n'est pas faux en soi. J'ai rencontré pas mal de gens et je leur ai expliqué dès le début ce que je voulais donc aucune cachette. Certains ne voulaient que du sexe donc je les ai flushé, mais d'autres sont ""tombés"" amoureux de moi... Je suis quelqu'un qui tombe facilement et rapidement en amour, mais là, c'est beaucoup rapide. 2 jours... On ne se connait même pas, je ne peux pas y croire. Et puis, moi j'aime encore énormément mon ex. Je suis convaincu que c'est mon soulmate... Je me suis excusée et je leur ai expliqué de nouveau ma situation. Mais je me sens quand même super mal, vous voyez... Et puis il y a ce garçon. Où j'ai commencé à avoir hâte de recevoir ces messages, où je commençais de plus en plus à me confier. Et puis, il y a eu hier. On a parlé 7h en call... On a parlé de tout et de rien. On riait, on avait du fun. J'ai réalisé que je m'étais attaché à lui... mais beaucoup trop et j'ai peur que ce soit avec de mauvaises intentions. Je l'aime bien, mais je suis amoureuse d'un autre homme... Depuis je suis extrêmement mal. J'ai peur de le blesser, car je l'apprécie full. Mais j'aime mon ex et je ne sais vraiment pas quand je vais pouvoir à nouveau aimer quelqu'un d'autre. Et est-ce que je vais en être capable ? J'aime mon ex du véritable amour, je ne savais qu'on pouvait aimé une personne à ce point. Je ne sais plus quoi faire. Aidez-moi s'il-vous-plaît :(","Bsr. Voys ne pouvez rien contre la décision de votre ex. Il a voulu mettre un terme a votre relation pour diverses raisons,  bonnes ou mauvaises, mais vous devez respecter son choix meme si pour vous c'est difficile. Maintenant il faut vous reconstruire et si cette reconstruction doit passer par tinder, du sex et des relations un peu plus importantes, pourquoi pas tant que vous maitrisez vos choix et envies. vous avez aussi des amis, par le travail, le sport,  et bien faites des soirées aussi avec eux afin de vous changer les idées. Et vous verrez que petit a petit vous allez l'oublier et vous rendre compte qu'il y a pleins d'autres personnes très intéressantes autour de vous"
https://couple.journaldesfemmes.com/forum/affich-70992-mon-homme-pere-de-mes-enfants-m-a-quittee,"Bonjour, Cela fait deux semaine que mon homme ex du coup m’a quittée nous avons deux enfants dont la plus petite a 8 mois et j’ai du mal à accepter la rupture à m’y faire c’est très dur pour moi .","Bonsoir, il vous à donné des raisons. Vous saviez que cette séparation allait venir ?"
https://couple.journaldesfemmes.com/forum/affich-70943-comment-oublier-son-ex,"Bonjour, Comment oublier mon ex alors qu’on vit encore sous le même toit avec nos enfants ?","Bsr en ne vivant plus sous le même toit et en reprenant en main sa vie|Bonjour La situation semble compliquée en vivant sous le même toit, surtout pour ""oublier"" votre ex. Peut-être, ne s'agit-il pas d'une réelle rupture... Tout dépend des raisons (ou des causes) de vos désaccords, de votre ""désunion"". Si votre ex est la mère de vos enfants, comment voulez-vous l'oublier ?|Prends une pause, respire profondément, et focalise-toi sur l'instant présent, tout va s'arranger. Sors chaque jour dans un cadre naturel, cela serait bénéfique. Engage-toi dans des activités que tu apprécies au quotidien.  cela t'aidera à prendre du recul. Tu peux aussi essayer le womanizer-mini que je conseille vraiment :https://douxfrisson.com/products/womanizer-mini"
https://couple.journaldesfemmes.com/forum/affich-70966-se-remettre-d-une-rupture-amoureuse,"Bonjour, Je vie une rupture amoureuse douloureuse à 27 ans. J'étais avec ma copine depuis 10 mois. On a réussi à tenir bien que j'étais en déplacement pro quelques fois. Mais j'ai l'impression d'avoir fauté. Tout d'abord cette fille je lui ai pardonner d'avoir été voir quelques ex, des messages de flirte sans tromperie pour autant je pense. On s'engueulais souvent car elle n'acceptait pas que je parle a des amies filles ou des collègues filles sans qu'il y ai quelques choses d'ambigu. Je devais faire gaffe à ce que je regardais quand je me pronemais avec elle. On s'engueulais quand j'allumais la console de temps en temps. Je lui est offert le Portugal et tout le voyage j'ai pris des "" tes chiants toutes les 2 minutes "", je lui offrait parfum, fleurs et restau, des qu'elle me rejoignait en déplacement je lui faisait vister la ville, lui accordais des balades a cheval mais j'avais l'impression de jamais la satisfaire. Elle faisait beaucoup d'histoire et a louper 2 CDi à cause de ca. Je m'occuper de sa fille comme si c'etait la mienne, lui offrait des cadeaux ect mais sa fille me répondais toujours qu'elle ne m'aimait pas et mon ex ne l'a reprenait pas pour autant. J'ai aussi un caractère pas facile aussi de mon côté mais je sais pas j'ai l'impression d'avoir que les bons moments dans ma tête et que moi j'ai fauté. On se quittais une journée pour se remettre ensemble le lendemain comme tout les couples qui se dispute. La dernière semaine, on était plus distant mais je lui avait organisé une soirée pour se retrouver mais on c'est devenu dit ""on arrête par message"" je pensais que ça allait de nouveau se redire je t'aime le lendemain mais rien, j'avais beau lui courir après, plus rien plus de sentiments, deux jours après elle avait quelqu'un d'autres",Bjr C'est qu'avec vous elle est passé à autre chose et qu'elle cherche autre chose que ce que vous lui apportiez. Il n'y a plus qu'à l'oublier et en trouver une autre
https://couple.journaldesfemmes.com/forum/affich-70952-rupture-complique,"Bonjour, Moi ma femme me quitte elle a besoin de ce retrouvé besoin de liberté vivre au jour le jour faire ce qu elle veut ça fait 14 ans de vie commune et 4 ans de mariage mes 2 enfant ne sont toujours pas au courant je ne sait plus quoi faire",Bsr suivant l'âge desx enfants il faut leur annoncer
https://couple.journaldesfemmes.com/forum/affich-70909-on-s-aime-tjrs-follement-mais-on-s-est-quittes,"Bonjour, je me permets d'écrire car je vis très mal ma séparation avec mon copain. Nous sommes restés deux ans ensemble et ça a toujours été l'amour fou, on était comme les deux doigts de la main, on avait les mêmes valeurs, et on était compatibles en tout point et c'était mon meilleur ami en plus de mon amoureux... Il y a deux mois j'ai fait la rencontre d'un garçon avec qui je m'entendais bien et qui m'attirait beaucoup. J'en ai parlé à mon copain qui a été très comprehensif et j'ai exprimé le besoin d''avoir une relation libre, car je ne voulais pas le quitter (je l'aimais trop...) mais j'avais sérieusement besoin de découvrir d'autres choses sexuellement parlant car il est le seul partenaire sexuel que j'ai eu. Même si il a eu un peu du mal au début, il a finit par accepter la relation libre en disant qu'il voulait essayer aussi. Jusque là, tout benef. Puis je me suis rendue compte que quand je flirtais un peu avec qlq, je me sentais terriblement coupable, comme si je trompais mon copain alors qu'il était d'accord, j'en ai conclus que la relation libre n'était pas pour moi. Etant donnée que j'ai une petite vingtaine, je me suis demandée si ce dont j'avais besoin n'était pas juste de me séparer de lui pour faire d'autres expériences de vie, mais cette fois=ci seule. On en a discuté, on a pleuré, et on a décidés d'un commun accord que c'était mieux pour l'instant de se séparer, pour que je puisse vivre ma jeunesse. Il a dormi chez moi, on s'est embrassés et fais des câlins tout la nuit (sans sexe) parce qu'on savait que le lendemain signait notre séparation officielle et qu'on voulait profiter encore un peu de la tendresse et de l'amour de l'autre. Puis le lendemain il est parti chez lui. On s'est promis de se retrouver plus tard car une connexion comme on l'a eu n'est ps défectible, et que lui aussi m'aime autant que j'en suis folle. Cela fait mtn quelques jours que nous sommes séparés mais que je regrette tout chez lui, toutes ses petites habitudes, il me manque terriblement et je pleure jusqu'à en avoir des nausées et je ne pense qu'à ça jour et nuit. Il m'a donné sa plaque militaire en souvenir et je la serre tout le temps dans ma main, car c'est le seul lien qu'il me reste avec lui... Je ne sais pas si je dois retourner avec lui sachant que je pense ne jamais avoir une relation comme celle là avec un autre, ou si je dois écouter mon instinct qui me dit de prendre mon envol. J'ai peur que ça ne soit plus jamais pareil si j'attends trop longtemps pour me remettre avec et que ça soit trop tard... Merci d'avance à ceux qui me liront","Bonjour,  bonne question...statistiquement les couples rencontrés trop jeunes résistent moins dans le temps ( flagrant à la crise de la quarantaine) . A l inverse,  vous êtes sans doute jeune et cet amour la,  on n en retrouve pas les sensations. Il est souvent exalté mais moins solide que celui qu on trouve plus tard .Personnellement, je ne souhaiterais pas retrouver ces amours de jeunesse qui ne presageaient pas la complétude nécessaire à une grande histoire d amour . A l inverse, nos vies sont tributaires de nos choix et de ce que nous sommes. C est pour çà qu il n y a pas de mode opératoire. Je vous dirais bien, oui tentez de nouvelles aventures, pour ne pas avoir de frustration plus tard . Mais il ne vous garantit en rien un ticket retour . Une histoire d amour , c est un chemin que l on fait à deux . Si l on se perd , on n est pas sûr de se retrouver. On peut le regretter...ou pas. Par contre, le sur place ( les regrets) ne font pas avancer.  Bonne route !!!|Bsr Vous avez décidé de vius separer pour connaître des plans sexewavec d'autres hommes. Profitez, testez afin de voir si cela vous apporte quelque chose. Et ensuite soit vous volez seule soit vous retournez vers lui car vous en avez decouvert assez auprès des autres hommes"
https://couple.journaldesfemmes.com/forum/affich-70898-je-souhaiterais-recuperer-mon-ex,"Bonjour à tous, Alors voilà, c’est la première fois que je post un message dans un forum, et j’espère avoir plusieurs avis. Mon ex conjoint (29ans) et moi-même (27ans) sommes restés en couple pendant 7 ans, voyant que la relation stagnait et ayant plusieurs soucis personnels, j’ai décidé de rompre. Malheureusement après 5 mois de cohabitation le temps de trouvé un nouveau logement et 1 mois dans un logement séparé. Je me rend compte que j’ai fait la plus grosse bêtise de ma vie et souhaiterais le retrouver. Nous communiquons assez facilement.Mais lui me dis qu’il a besoin de temps, qu’il est complètement perdu et que tous ça est encore trop frais.J’ai peur de lui laisser le temps qu’il demande et qu’il passe à autre chose. Qu’en pensez-vous ? Quels conseils pourriez-vous me donner ?Merci ☺️","Bsr Vous avez choisi cette séparation. Aujourd'hui vous voulez revenir. Lui, a du encaisser le coup et n'a pas l'air pret a revenir tout de suite. plus vous allez chercher a le reprendre et plus il freinera tout ca. laissez lui reprendre ses esprits et quand il sera prêt, vous pourrez tenter de le reconquérir"
https://couple.journaldesfemmes.com/forum/affich-70845-sr-pour-recuperer-son-ex-et-le-convaincre-de-notre-changemen,"Bonjour à tous, Première pour moi sur un forum mais vraiment besoin de conseils svp!! Mon chéri, celui avec lequel c’était l’amour fou, comme il le disait une évidence, un rêve éveillé, a mis fin à notre relation fin septembre après une enieme dispute, me reprochant mon caractère bien trempé et tout ce qu’il a accepté et cumulé pendant 2 ans …selon lui la goute de trop …. Cet homme un mois avant était encore en pleine recherche d’appartement pour notre famille recomposée (deja 2 enfants chacun ), avait hâte de vivre près de moi tous les jours, était disponible pour moi tous le temps, serviable , aux petits soins …peut être même trop parfois( littéralement le prince charmant ) … a noté aussi une possessivité que je n’ai pas réellement réalisé au début et que j’ai occulté, car finalement malgres de petites crises quand je sortais il revenait à lui le lendemain comme ci de rien était …attendait que je l’appelle en rentrant même après une soirée qui se terminait à 2h du mat , m’a avoué qu’il avait été aveugler par amour  accepter m’a vie sociale, tout mes amis… comme il me l’a dit il était aveugle par amour et accepté ce qui n’était pas lui , une version ultra cool finalement fausse ….toute cette frustration à Amener à cette rupture après des déclarations d’amour de sa part tous les jours pendant presque 2 ans … Ça a été un véritable choc pour moi , l’homme qui me traitait comme une reine… m’a rayé de sa vie en 1 mois …( mois de septembre très up and down avant de se décider, un homme que je ne connaissais pas, froid, dure distant  ) …avec un final je sais que tu as trop de caractère et que en faite je n’en suis pas capable .. mais pourquoi me vendre lui ce personnage parfait pendant tout ce temps ??? bref j’ai perdu en 3 semaines 4 kg( descendue à 48 kg) et une tristesse inexplicable…nous avions tellement d’amour … en 3 semaines je l’ai contacté 2 fois et vu une fois pour lui remettre le cadeau d’anniv de sa fille , j’en ai profité pour lui re expliquer que il s’agit d’un échec du à des erreurs des deux côtés, il le reconnaît partiellement , me dit que pour lui mon caractère va faire que ça va peter tôt ou tard …moi j’ai insisté en expliquant qu’il aurait suffit de me donner ses limites aussi …que je peux trouver des compris …j’ai insisté pour qu’on se donne une chance …. lui me dit que là tout de suite c’est mort à 99% qu’il ne se voit plus en couple mais qu’il me propose qu’on se voit dans 3 semaines ( retour de voyage ) pour voir si il sera capable de faire table rase du passé …mais ne le promet rien … je ne sais plus trop quoi penser ../je suis en SR stricte depuis une semaine …ça vaut le coup que j’espère et est-ce que ça pourrait réellement refonctionner ? va t’il reprendre selon vous , sera t’il à nouveau l’homme que j’ai connu ou une version bcp plus dure ? désolée pour le pavé et merci pour ceux qui me répondront","Bsr Si il revient, plus rien entre vous sera comme avant|Bonjour, Tu peux m’en dire plus ? Pour toi cela ne sert à rien d’essayer de repartir sur des vraies bases ??c’est peine perdue ?Meme si je suis prête à m’adapter et entendre ses attentes ?|Merci pour ta réponse, mais le résumé c’est qu’on jette tout cette histoire parce qu’il n’a pas montrer son vrai lui pendant presque 1,5 ans ? S’est bridé pour que ça soit parfait ? Je me demande toujours si j’ai mal agit …car je ne comprends pas d’en arriver là ….de craquer aussi tardivement en voulant du changement…effectivement j’ai peur que me forcer à être moins naturelle nous amène dans le mur …faire des concessions pour les sorties, les amis , etc….mais en y réfléchissant c’est de cette personne vivante dont il est tombé amoureux"
https://couple.journaldesfemmes.com/forum/affich-70850-est-il-possible-de-revenir-en-arriere,"Bonjour, Il y a 3 ans je quitte mon mari sûr un coup de tête,on été ensemble depuis 15 ans deux enfants de 7 ans.  Aujourd'hui on est divorce, gardé partager pour les enfants je suis en couple mais je pense que je regrette tout et je de mal à vivre sans voire mes enfants qui une semaine sur deux.rien ne me donner envie je suis triste et déprimé. Je pense d'avoir fait une erreur, même si mon compagnon me offre tout le fait de pas avoir mes enfants et d'avoir quitté mon ex sans vraiment de motivations juste pasque on avait de mal financement et il na pas essayer de me comprendre à l'époque je tout quitter sans réfléchir. Et je me suis mis en couple avec son mieux amie.je besoin de aide. Merci","Bonjour. Pour de l'aide, il n'y a aucun problème et vous la trouverez auprès d'un psychiatre qui vous aidera a vous en sortir"
https://couple.journaldesfemmes.com/forum/affich-70834-trouver-un-but-a-la-vie-apres-une-rupture-difficile,"Bonjour, J’étais en couple depuis 15 ans avec un homme. Tout se passait bien et nous avions très peu de conflit. Nous avions acheté une maison et nous essayions d’avoir un enfant. Nous étions l’exemple du couple qui s’aime pour tous nos amis. La fausse couche est arrivée… j’ai vécu ce deuil assez bien, car pour moi ce n’était pas définitif. Lui est devenu distant et irrité. Il m’a demandé du temps pour lui, car son travail l’épuisait. Il m’a demandé de me trouver des passe-temps. Il est allé en vacances seul pour se ressourcer. Il avait embrassé sa collègue… il m’a avoué qu’il ne voulait plus d’enfant 1 mois plus tard. Il m’a laissé trois mois après. Trois mois où il était froid et sec avec moi. Il m’a avoué qu’il ressentait enfin des papillons dans le ventre - pour sa collègue. Il a emménagé près de chez elle trois semaines après m’avoir laissé, me laissant gérer la vente de notre maison seule. je me sens ridicule et lésée. Je me sens comme si j’avais perdu ma vie et ma jeunesse. Je n’ai plus aucun projet. Littéralement, je ne me projette plus. Je vis des deuils immenses et je ne sais pas pourquoi j’existe. est-ce que quelqu’un est passé par la ? Comment se reenligner sur quelque chose ? J’ai essayé, mais les voyages ne sont pas plaisants. Je me sens seule à me comprendre dans cette épreuve. J’ai l’impression que tout est de ma faute, mais j’ai tout subie sans jamais avoir d’indice que quelque chose n’allait pas dans notre couple. je suis tellement mal et seule dans ma situation…","Bonjour. C'est une épreuve difficile à passer mais qui n'est pas insurmontable. Rapprochez vous de vos ami(e)s, sortez avec eux, (loisirs, restaurants) et en parallèles consultez un pschiatre. Il saura vous donner les clés pour débloquer votre blocage et à mieux apprécier la vie de tout les jours"
https://couple.journaldesfemmes.com/forum/affich-70241-rupture-amoureuse,"Bonjour, voilà 1 an et demi que je suis séparée de l'homme que je pensais être l'homme de ma vie mais il en a décidé  autrement. Nous nous sommes connus en 2010. Nous avions 18 ans. Nous avons vécu 12 ans ensemble. Nous avons beaucoup voyagé, construit notre maison (que jai racheter apres notre rupture), adopter un petit chat, beaucoup profiter aucunes ombres au tableau... Un soir de novembre 2021 (le soir de mon anniversaire) en rentrant du travail, il m'annonce qu'il voulais se séparer qu'il a une ambiguïté avec une collègue de travail. En me jurant qu'il ne s'était rien passé mais qu'il préférait partir avant de me tromper. Ce soir là a été un effondrement total. ???? Personne n'y croyais que se soirmt nos familles, nos amis, nos collègues... et moi évidement. Tout le monde pensais à une blague tellement s'était irréaliste. Nous étions "" le couple modèle"" comme disaient t'ils... Nous venions de programmer un voyage en Martinique, nous étions en fêtes le week end précédent avec tout nos amis, et jamais on ne s'était disputer ou quoique se soit. Au bout de 1 semaine il est parti vivre chez ses parents. En avril 2022, nous étions de mariage de nos meilleurs amis ou nous étions les 2 témoins... Début avril il est revenu en me disant les paroles que toutes femme rêvent d'entendre. De promesses, des paroles qui me faisait l'aimer encore plus. Mais 1 semaine après, il est reparti. Je n'ai appris que quelques temps après que il était revenu car sa collègue en question s'était plutôt amuser avec lui... Il était revenu pour tenter de sauver notre couple et ce qu'on avait bâti. Mais il essayais de s'en persuader lui même enfaite. Depuis juin 2022 il a refait sa vie avec une autre femme, il habite chez elle, vvoyagé ensemble.... Je sais que je me fais encore plus de mal à suivre ça sur les réseaux. Mais c'est plus fort que moi. Nos amis en commun me disent que il ne le reconnaisse plus depuis qu'il est avec elle. Que ce n'est plus le même. Et surtout pas lui. Pour eux il ""joue"" un rôle. Ne sachant rien de ma situation et pensant que j'avance et que j'oublie, ils me nourrissent l'espoir qu'il revienne un jour avec des paroles comme ça. Voilà 1 ans et demi que je suis séparer. 1 an et demi que je m'enfonce chaque jour un peu plus derrière un sourire devant ma famille et mes amis qui pensent que je remonte la pente. Mais chaque soir, je m'écroule. ???? je n'arrive pas à passer à autre chose. Tout me ramène à lui, à nous. Désolé pour ce roman Y a t'il des personnes comme moi? Merci de m'avoir lu.","bjr la première chose a faire est de supprimé son compte des réseaux sociaux afin de ne plus le suivre, la deuxième chose est de consulter un psychiatre pour qu'il vous aide a passer ces moments difficiles|Bonjour, Je vis actuellement une situation plus que similaire à la vôtre et je suis en train de sombrer totalement.Peut-on en échanger ? bien à vous rachel|Ce soir c'est un mauvais soir pour moi.. J'espère que vous allez mieux.. C'est tellement difficile.."
